level	number of topics	topics	topic_num	keywords
0	114	topic_0.0	0.0	energía, hidrógeno, baterías, renovables, solar, electricidad, solares, eólica, gw, energías
0	114	topic_1.0	1.0	ucrania, rusia, otan, guerra, putin, invasión, rusa, ruso, paz, conflicto
0	114	topic_2.0	2.0	siria, turquía, terremoto, arabia, erdogan, turco, saudí, magnitud, recep, terremotos
0	114	topic_3.0	3.0	película, cine, películas, ficción, star, hollywood, actor, estreno, serie, wars
0	114	topic_4.0	4.0	usuarios, netflix, amazon, internet, plataforma, web, móvil, compañía, móviles, meta
0	114	topic_5.0	5.0	proud, boys, tarrio, pirámide, fast, biyín, ito, alec, rubik, rambal
0	114	topic_6.0	6.0	irán, amini, kosovo, armas, iraní, mahsa, irak, islámico, velo, faso
0	114	topic_7.0	7.0	alumnos, universidad, educación, profesores, estudiantes, profesor, docentes, curso, alumnado, facultad
0	114	topic_8.0	8.0	guerra, nazis, hitler, nazi, franco, república, memoria, holocausto, civil, 1936
0	114	topic_9.0	9.0	mar, metros, costa, rocas, islas, kilómetros, isla, profundidades, océano, aguas
0	114	topic_10.0	10.0	instrucción, juzgado, villarejo, trama, juez, anticorrupción, audiencia, caso, fiscalía, mediador
0	114	topic_11.0	11.0	historia, siglo, ciudad, era, rey, pueblo, san, vida, nombre, fue
0	114	topic_12.0	12.0	cocaína, droga, guardia, criminal, civil, drogas, kilos, operación, detenido, hachís
0	114	topic_13.0	13.0	hospital, pacientes, urgencias, paciente, hospitales, sergas, salud, médico, profesionales, centro
0	114	topic_14.0	14.0	salud, mental, suicidio, medicamentos, población, ansiedad, depresión, anar, adolescentes, suicidios
0	114	topic_15.0	15.0	alquiler, vivienda, viviendas, pisos, alquileres, propietarios, piso, inmobiliario, inquilinos, turísticos
0	114	topic_16.0	16.0	ia, artificial, chatgpt, inteligencia, openai, gpt, lenguaje, chatbot, google, tecnología
0	114	topic_17.0	17.0	marruecos, sáhara, marroquí, marroquíes, saharaui, rabat, occidental, parlamento, polisario, saharauis
0	114	topic_18.0	18.0	vox, alcaldía, alcalde, concejales, municipales, pp, elecciones, partido, ayuntamiento, candidato
