Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,5,-1____,", , ","['', '', '', '', '', '', '', '', '', '']",
0,2935,0_ucrania_rusia_guerra_de,"ucrania, rusia, guerra","['ucrania', 'rusia', 'guerra', 'de', 'de ucrania', 'ruso', 'el', 'en', 'la', 'la guerra']",
1,2424,1_elecciones_pp_partido_las elecciones,"elecciones, pp, partido","['elecciones', 'pp', 'partido', 'las elecciones', 'ha', 'que', 'el', 'del', 'la', 'las']",
2,1930,2_de_en_un_los,"de, en, un","['de', 'en', 'un', 'los', 'animales', 'la', 'una', 'el', 'se', 'que']",
3,1844,3_pelicula_de_que_en,"pelicula, de, que","['pelicula', 'de', 'que', 'en', 'una', 'cine', 'la', 'el', 'un', 'los']",
4,1491,4_policia_la policia_detenido_de anos,"policia, la policia, detenido","['policia', 'la policia', 'detenido', 'de anos', 'un', 'en', 'de', 'hombre', 'anos', 'la']",
5,1330,5_prision_anos_de prision_por,"prision, anos, de prision","['prision', 'anos', 'de prision', 'por', 'de', 'la', 'tribunal', 'la audiencia', 'audiencia', 'delito']",
6,1067,6_musica_cancion_la musica_banda,"musica, cancion, la musica","['musica', 'cancion', 'la musica', 'banda', 'de', 'en', 'the', 'su', 'el', 'disco']",
7,1081,7_banco_inflacion_la inflacion_los,"banco, inflacion, la inflaci","['banco', 'inflacion', 'la inflacion', 'los', 'tipos', 'bancos', 'el', 'de', 'del', 'la']",
8,972,8_sanidad_huelga_medicos_atencion,"sanidad, huelga, medicos","['sanidad', 'huelga', 'medicos', 'atencion', 'de', 'la sanidad', 'primaria', 'la', 'atencion primaria', 'salud']",
9,826,9_temperaturas_calor_temperatura_grados,"temperatur, calor, temperatur","['temperaturas', 'calor', 'temperatura', 'grados', 'climatico', 'mas', 'cambio climatico', 'de calor', 'el', 'en']",
10,829,10_espacial_la_de_nasa,"espacial, la, de","['espacial', 'la', 'de', 'nasa', 'la tierra', 'el', 'tierra', 'luna', 'la nasa', 'la luna']",
11,831,11_futbol_el_en_que,"futbol, el, en","['futbol', 'el', 'en', 'que', 'del', 'la', 'se', 'de', 'un', 'los']",
12,858,12_energia_de energia_gas_de,"energia, de energia, gas","['energia', 'de energia', 'gas', 'de', 'electricidad', 'el', 'la', 'en', 'renovables', 'para']",
13,783,13_trabajo_trabajadores_laboral_de trabajo,"trabajo, trabajador, laboral","['trabajo', 'trabajadores', 'laboral', 'de trabajo', 'empleo', 'que', 'de', 'los', 'el', 'en']",
14,716,14_inteligencia artificial_artificial_inteligencia_ia,"inteligenc, artificial, inteligenc","['inteligencia artificial', 'artificial', 'inteligencia', 'ia', 'chatgpt', 'la inteligencia artificial', 'la inteligencia', 'gpt', 'google', 'openai']",
15,626,15_vivienda_alquiler_viviendas_la vivienda,"vivienda, alquiler, viviendas","['vivienda', 'alquiler', 'viviendas', 'la vivienda', 'de vivienda', 'de', 'los', 'la', 'en', 'que']",
16,736,16_vineta_de_en_vergara,"vineta, de, en","['vineta', 'de', 'en', 'vergara', 'la', 'sobre', 'satirica', 'satirica de', 'el', 'bernardo vergara']",
17,600,17_coches_vehiculos_coche_electricos,"coches, vehiculos, coche","['coches', 'vehiculos', 'coche', 'electricos', 'los coches', 'de', 'que', 'los', 'un', 'en']",
18,628,18_mujeres_violencia_las mujeres_de genero,"mujeres, violencia, las mujere","['mujeres', 'violencia', 'las mujeres', 'de genero', 'genero', 'trans', 'igualdad', 'ley', 'las', 'la violencia']",
19,508,19_de_que_comida_carne,"de, que, comida","['de', 'que', 'comida', 'carne', 'alimentos', 'en', 'es', 'la', 'comer', 'un']",
20,485,20_aborto_embarazo_que_la,"aborto, embarazo, que","['aborto', 'embarazo', 'que', 'la', 'mujeres', 'el', 'el aborto', 'de', 'gestacion', 'derecho']",
21,490,21_agua_de agua_de_la,"agua, de agua, de","['agua', 'de agua', 'de', 'la', 'del', 'donana', 'el', 'sequia', 'el agua', 'del agua']",
22,429,22_educacion_alumnos_que_los,"educacion, alumnos, que","['educacion', 'alumnos', 'que', 'los', 'de', 'la', 'centros', 'las', 'en', 'de educacion']",
23,433,23_twitter_musk_elon_de twitter,"twitter, musk, elon","['twitter', 'musk', 'elon', 'de twitter', 'elon musk', 'red social', 'la red social', 'red', 'la red', 'en twitter']",
24,531,24_arte_artista_fotografia_de,"arte, artista, fotografia","['arte', 'artista', 'fotografia', 'de', 'museo', 'en', 'imagenes', 'el', 'la', 'fotos']",
25,374,25_israel_israeli_de israel_palestinos,"israel, israeli, de israel","['israel', 'israeli', 'de israel', 'palestinos', 'israelies', 'palestina', 'de', 'netanyahu', 'palestino', 'cisjordania']",
26,627,26_constitucional_tribunal_ley_tribunal constitucional,"constituci, tribunal, ley","['constitucional', 'tribunal', 'ley', 'tribunal constitucional', 'el', 'del', 'la', 'gobierno', 'pp', 'que']",
27,360,27_covid_virus_vacunas_vacuna,"covid, virus, vacunas","['covid', 'virus', 'vacunas', 'vacuna', 'gripe', 'las vacunas', 'pandemia', 'la', 'de', 'coronavirus']",
28,328,28_cocaina_drogas_cannabis_droga,"cocaina, drogas, cannabis","['cocaina', 'drogas', 'cannabis', 'droga', 'medicamentos', 'de cocaina', 'de', 'de drogas', 'en', 'la']",
29,413,29_datos_de datos_de_google,"datos, de datos, de","['datos', 'de datos', 'de', 'google', 'que', 'los', 'informacion', 'proteccion de datos', 'usuarios', 'seguridad']",
30,414,30_medios_periodismo_periodistas_que,"medios, periodismo, periodista","['medios', 'periodismo', 'periodistas', 'que', 'periodista', 'los medios', 'es', 'de', 'no', 'la']",
31,466,31_policia_la_de_la policia,"policia, la, de","['policia', 'la', 'de', 'la policia', 'manifestantes', 'en', 'los', 'de la', 'las', 'han']",
32,455,32_barco_buque_de_el,"barco, buque, de","['barco', 'buque', 'de', 'el', 'en', 'del', 'mar', 'la', 'se', 'un']",
33,343,33_impuesto_impuestos_euros_el impuesto,"impuesto, impuestos, euros","['impuesto', 'impuestos', 'euros', 'el impuesto', 'fiscal', 'impuesto de', 'de euros', 'el', 'millones', 'los']",
34,335,34_vehiculo_accidente_conductor_un,"vehiculo, accidente, conductor","['vehiculo', 'accidente', 'conductor', 'un', 'coche', 'el', 'el conductor', 'se', 'la', 'en']",
35,332,35_trenes_tren_transporte_los trenes,"trenes, tren, transporte","['trenes', 'tren', 'transporte', 'los trenes', 'de', 'ferroviaria', 'alta velocidad', 'el', 'en', 'los']",
36,319,36_cancer_celulas_cancer de_el cancer,"cancer, celulas, cancer de","['cancer', 'celulas', 'cancer de', 'el cancer', 'enfermedad', 'de', 'un', 'que', 'en', 'la']",
37,308,37_incendios_incendio_fuego_los incendios,"incendios, incendio, fuego","['incendios', 'incendio', 'fuego', 'los incendios', 'forestales', 'bomberos', 'incendios forestales', 'llamas', 'el fuego', 'hectareas']",
38,262,38_pensiones_las pensiones_jubilacion_de pensiones,"pensiones, las pensio, jubilacion","['pensiones', 'las pensiones', 'jubilacion', 'de pensiones', 'de las pensiones', 'pension', 'reforma', 'de jubilacion', 'reforma de', 'la reforma']",
39,343,39_lengua_la lengua_que_lenguas,"lengua, la lengua, que","['lengua', 'la lengua', 'que', 'lenguas', 'en', 'idioma', 'el', 'es', 'la', 'de']",
40,322,40_ha fallecido_fallecido_anos_los anos,"ha falleci, fallecido, anos","['ha fallecido', 'fallecido', 'anos', 'los anos', 'su', 'ha', 'ferrovial', 'murio', 'de', 'en']",
41,299,41_apple_movil_amazon_de,"apple, movil, amazon","['apple', 'movil', 'amazon', 'de', 'moviles', 'que', 'los', 'para', 'la', 'en']",
42,302,42_de_restos_la_de la,"de, restos, la","['de', 'restos', 'la', 'de la', 'victimas', 'en', 'los', 'el', 'del', 'los restos']",
43,299,43_iglesia_la iglesia_abusos_catolica,"iglesia, la iglesia, abusos","['iglesia', 'la iglesia', 'abusos', 'catolica', 'la', 'de la iglesia', 'de', 'iglesia catolica', 'que', 'los']",
44,372,44_fue_la_guerra_de,"fue, la, guerra","['fue', 'la', 'guerra', 'de', 'el', 'los', 'en', 'de la', 'su', 'que']",
45,174,45_la_de_que_se,"la, de, que","['la', 'de', 'que', 'se', 'los', 'el', 'en', 'del', 'de la', 'con']",
46,301,46_hombres_mujeres_sexo_los hombres,"hombres, mujeres, sexo","['hombres', 'mujeres', 'sexo', 'los hombres', 'que', 'los', 'las mujeres', 'es', 'las', 'no']",
47,309,47_avion_vuelo_aviones_vuelos,"avion, vuelo, aviones","['avion', 'vuelo', 'aviones', 'vuelos', 'aeropuerto', 'el', 'de', 'en', 'un', 'la']",
48,200,48_que_euros_de_el,"que, euros, de","['que', 'euros', 'de', 'el', 'sueldo', 'la', 'los', 'en', 'del', 'alcalde']",
49,200,49_de_del_el_que,"de, del, el","['de', 'del', 'el', 'que', 'la', 'su', 'en', 'ha', 'los', 'se']",
50,374,50_euros_de_de euros_por,"euros, de, de euros","['euros', 'de', 'de euros', 'por', 'la', 'el', 'fiscalia', 'la fiscalia', 'en', 'de la']",
51,263,51_de_la_que_en,"de, la, que","['de', 'la', 'que', 'en', 'el', 'video', 'un', 'de la', 'una', 'ha']",
52,247,52_migrantes_asilo_inmigrantes_frontera,"migrantes, asilo, inmigrante","['migrantes', 'asilo', 'inmigrantes', 'frontera', 'los', 'la frontera', 'de', 'que', 'en', 'de asilo']",
53,381,53_hospital_le_una_que,"hospital, le, una","['hospital', 'le', 'una', 'que', 'su', 'de', 'un', 'la', 'en', 'el']",
54,214,54_precios_alimentos_los precios_supermercados,"precios, alimentos, los precio","['precios', 'alimentos', 'los precios', 'supermercados', 'productos', 'iva', 'compra', 'los alimentos', 'los', 'precio']",
55,197,55_terremoto_volcan_magnitud_erupcion,"terremoto, volcan, magnitud","['terremoto', 'volcan', 'magnitud', 'erupcion', 'terremotos', 'de magnitud', 'de', 'terremoto de', 'en', 'un']",
56,250,56_criptomonedas_bitcoin_moneda_monedas,"criptomone, bitcoin, moneda","['criptomonedas', 'bitcoin', 'moneda', 'monedas', 'de criptomonedas', 'las criptomonedas', 'de', 'dolar', 'en', 'dolares']",
57,168,57_de_la_que_el,"de, la, que","['de', 'la', 'que', 'el', 'en', 'del', 'con', 'se', 'su', 'de la']",
58,161,58_de_la_que_el,"de, la, que","['de', 'la', 'que', 'el', 'en', 'de la', 'por', 'se', 'madrid', 'una']",
59,162,59_obesidad_alcohol_diabetes_que,"obesidad, alcohol, diabetes","['obesidad', 'alcohol', 'diabetes', 'que', 'es', 'la obesidad', 'consumo', 'la', 'peso', 'de']",
60,297,60_documentos_de_biden_el,"documentos, de, biden","['documentos', 'de', 'biden', 'el', 'en', 'assange', 'periodista', 'del', 'la', 'sobre']",
61,209,61_despidos_empleados_trabajadores_plantilla,"despidos, empleados, trabajador","['despidos', 'empleados', 'trabajadores', 'plantilla', 'de', 'teletrabajo', 'empresa', 'la empresa', 'ha', 'que']",
62,140,62_de_la_que_los,"de, la, que","['de', 'la', 'que', 'los', 'se', 'en', 'el', 'una', 'para', 'las']",
63,150,63_tabaco_que_me_mi,"tabaco, que, me","['tabaco', 'que', 'me', 'mi', 'en', 'de', 'el', 'la', 'se', 'no']",
64,165,64_de_la_en_de la,"de, la, en","['de', 'la', 'en', 'de la', 'el', 'del', 'los', 'que', 'se', 'las']",
65,225,65_television_telecinco_la television_en,"television, telecinco, la televis","['television', 'telecinco', 'la television', 'en', 'espectadores', 'de', 'programa', 'la', 'que', 'con']",
66,227,66_suicidio_mental_salud mental_salud,"suicidio, mental, salud ment","['suicidio', 'mental', 'salud mental', 'salud', 'depresion', 'que', 'en', 'personas', 'la', 'de']",
67,165,67_iglesia_la iglesia_que_los,"iglesia, la iglesia, que","['iglesia', 'la iglesia', 'que', 'los', 'la', 'de', 'no', 'ciencia', 'catolica', 'de la iglesia']",
68,164,68_de_euros_la_del,"de, euros, la","['de', 'euros', 'la', 'del', 'el', 'que', 'por', 'en', 'china', 'de la']",
69,270,69_poblacion_mas_la poblacion_habitantes,"poblacion, mas, la poblaci","['poblacion', 'mas', 'la poblacion', 'habitantes', 'de', 'en', 'pobreza', 'la', 'de la poblacion', 'espana']",
70,180,70_marruecos_sahara_sahara occidental_del,"marruecos, sahara, sahara occ","['marruecos', 'sahara', 'sahara occidental', 'del', 'del sahara', 'de marruecos', 'marroqui', 'la', 'occidental', 'el']",
71,142,71_que_de_la_en,"que, de, la","['que', 'de', 'la', 'en', 'el', 'para', 'se', 'del', 'con', 'un']",
72,302,72_la_presidente_el_de,"la, presidente, el","['la', 'presidente', 'el', 'de', 'del', 'de la', 'en', 'el presidente', 'ha', 'con']",
73,133,73_de_la_que_en,"de, la, que","['de', 'la', 'que', 'en', 'los', 'un', 'el', 'las', 'una', 'trabajo']",
74,201,74_globo_globos_un_espia,"globo, globos, un","['globo', 'globos', 'un', 'espia', 'el', 'de', 'estados unidos', 'unidos', 'estados', 'chino']",
75,252,75_las_los_redes_que,"las, los, redes","['las', 'los', 'redes', 'que', 'internet', 'las redes', 'de', 'en', 'las redes sociales', 'redes sociales']",
76,206,76_arboles_los arboles_bosques_especies,"arboles, los arbole, bosques","['arboles', 'los arboles', 'bosques', 'especies', 'de', 'la', 'los', 'en', 'el', 'se']",
77,201,77_de_el_que_ayuntamiento,"de, el, que","['de', 'el', 'que', 'ayuntamiento', 'la', 'turismo', 'en', 'del', 'los', 'se']",
78,252,78_sanchez_feijoo_ha_vox,"sanchez, feijoo, ha","['sanchez', 'feijoo', 'ha', 'vox', 'tamames', 'pedro sanchez', 'candidato', 'pedro', 'mocion', 'debate']",
79,183,79_de_la_en_fiestas,"de, la, en","['de', 'la', 'en', 'fiestas', 'mascarillas', 'el', 'se', 'que', 'las', 'los']",
80,194,80_arabia_iran_saudi_la,"arabia, iran, saudi","['arabia', 'iran', 'saudi', 'la', 'de', 'paz', 'paises', 'guerra', 'el', 'en']",
81,162,81_de_la_en_el,"de, la, en","['de', 'la', 'en', 'el', 'del', 'que', 'los', 'su', 'de la', 'se']",
82,138,82_trump_donald_donald trump_expresidente,"trump, donald, donald tru","['trump', 'donald', 'donald trump', 'expresidente', 'el expresidente', 'expresidente donald trump', 'expresidente donald', 'de estados unidos', 'de estados', 'de trump']",
83,150,83_bolsonaro_brasil_jair_jair bolsonaro,"bolsonaro, brasil, jair","['bolsonaro', 'brasil', 'jair', 'jair bolsonaro', 'lula', 'de brasil', 'brasilia', 'presidente', 'en brasil', 'el']",
84,256,84_es_que_no_vida,"es, que, no","['es', 'que', 'no', 'vida', 'lo', 'la', 'la vida', 'te', 'un', 'si']",
85,187,85_en_de_la_que,"en, de, la","['en', 'de', 'la', 'que', 'un', 'las', 'el', 'una', 'su', 'los']",
86,194,86_anime_japon_manga_de,"anime, japon, manga","['anime', 'japon', 'manga', 'de', 'en', 'japones', 'la', 'el', 'los', 'es']",
87,233,87_residuos_de residuos_de_la,"residuos, de residuo, de","['residuos', 'de residuos', 'de', 'la', 'el', 'en', 'que', 'los', 'se', 'los residuos']",
88,130,88_que_de_en_la,"que, de, en","['que', 'de', 'en', 'la', 'el', 'los', 'es', 'las', 'mas', 'se']",
89,203,89_acoso_que_escolar_de,"acoso, que, escolar","['acoso', 'que', 'escolar', 'de', 'profesor', 'bullying', 'la', 'colegio', 'un', 'acoso escolar']",
90,171,90_netflix_usuarios_streaming_de,"netflix, usuarios, streaming","['netflix', 'usuarios', 'streaming', 'de', 'plataforma', 'youtube', 'de netflix', 'que', 'en', 'de usuarios']",
91,271,91_un_matematicas_de_es,"un, matematica, de","['un', 'matematicas', 'de', 'es', 'en', 'una', 'la', 'numeros', 'el', 'que']",
92,211,92_euros_familias_de euros_ayudas,"euros, familias, de euros","['euros', 'familias', 'de euros', 'ayudas', 'ayuda', 'para', 'bono', 'de', 'que', 'el']",
93,103,93_de_la_una_que,"de, la, una","['de', 'la', 'una', 'que', 'las', 'el', 'en', 'con', 'por', 'un']",
94,122,94_la_de_el_que,"la, de, el","['la', 'de', 'el', 'que', 'peru', 'en', 'contra', 'las', 'protestas', 'los']",
95,133,95_robot_robots_que_los,"robot, robots, que","['robot', 'robots', 'que', 'los', 'es', 'de', 'el', 'no', 'un', 'para']",
96,154,96_coche_de trafico_vehiculo_trafico,"coche, de trafico, vehiculo","['coche', 'de trafico', 'vehiculo', 'trafico', 'multa', 'euros', 'un', 'por', 'que', 'de']",
97,402,97_euros_millones_de euros_millones de,"euros, millones, de euros","['euros', 'millones', 'de euros', 'millones de', 'millones de euros', 'de', 'la', 'del', 'el', 'en']",
98,277,98_que_ha_en_el,"que, ha, en","['que', 'ha', 'en', 'el', 'no', 'su', 'de', 'con', 'un', 'la']",
99,150,99_revista_la_de_la revista,"revista, la, de","['revista', 'la', 'de', 'la revista', 'que', 'en', 'el', 'una', 'del', 'un']",
100,104,100_de_que_la_el,"de, que, la","['de', 'que', 'la', 'el', 'su', 'en', 'las', 'espana', 'un', 'por']",
101,189,101_contaminacion_sustancias_de_salud,"contaminac, sustancias, de","['contaminacion', 'sustancias', 'de', 'salud', 'pesticidas', 'aire', 'los', 'en', 'que', 'la']",
102,101,102_de_en_el_la,"de, en, el","['de', 'en', 'el', 'la', 'que', 'los', 'ha', 'por', 'un', 'su']",
103,136,103_de_un_motor_la,"de, un, motor","['de', 'un', 'motor', 'la', 'el', 'en', 'que', 'una', 'se', 'su']",
104,158,104_mapas_mapa_los_de,"mapas, mapa, los","['mapas', 'mapa', 'los', 'de', 'en', 'los mapas', 'que', 'las', 'es', 'mas']",
105,96,105_de_el_la_que,"de, el, la","['de', 'el', 'la', 'que', 'ozono', 'en', 'capa de ozono', 'de ozono', 'la capa de', 'la capa']",
106,92,106_erdogan_elecciones_kemal_kilicdaroglu,"erdogan, elecciones, kemal","['erdogan', 'elecciones', 'kemal', 'kilicdaroglu', 'turquia', 'de', 'en', 'que', 'las elecciones', 'el']",
107,92,107_la_los_de_que,"la, los, de","['la', 'los', 'de', 'que', 'una', 'por', 'en', 'las', 'el', 'se']",
108,198,108_brexit_europea_la union europea_union europea,"brexit, europea, la union e","['brexit', 'europea', 'la union europea', 'union europea', 'union', 'ue', 'la union', 'la', 'el brexit', 'la ue']",
109,121,109_tesla_de tesla_de_la,"tesla, de tesla, de","['tesla', 'de tesla', 'de', 'la', 'musk', 'acciones', 'en', 'su', 'millones', 'acciones de']",
110,93,110_que_la_de_el,"que, la, de","['que', 'la', 'de', 'el', 'un', 'en', 'se', 'los', 'las', 'por']",
111,228,111_de_la_mas_el,"de, la, mas","['de', 'la', 'mas', 'el', 'en', 'de la', 'del', 'es', 'con', 'los']",
112,131,112_muerte_de_la_iran,"muerte, de, la","['muerte', 'de', 'la', 'iran', 'pena', 'en', 'el', 'por', 'pena de muerte', 'de muerte']",
113,114,113_de_la_el_en,"de, la, el","['de', 'la', 'el', 'en', 'de la', 'del', 'que', 'las', 'los', 'una']",
114,146,114_windows_ordenador_ordenadores_de windows,"windows, ordenador, ordenadore","['windows', 'ordenador', 'ordenadores', 'de windows', 'de', 'para', 'microsoft', 'un', 'que', 'como']",
