Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,16,-1_hey_hey hey_hey hey hey_los saiyans vegeta,"hey, hey hey, hey hey he","['hey', 'hey hey', 'hey hey hey', 'los saiyans vegeta', 'granos automatico unboxing', 'hey heeeeeey', 'he hey hey', 'ti es un', 'he hey', 'hey heeeeeeeeeeey']",
0,3015,0_ucrania_rusia_guerra_de,"ucrania, rusia, guerra","['ucrania', 'rusia', 'guerra', 'de', 'ruso', 'de ucrania', 'el', 'en', 'la', 'la guerra']",
1,2643,1_elecciones_pp_partido_las elecciones,"elecciones, pp, partido","['elecciones', 'pp', 'partido', 'las elecciones', 'ha', 'que', 'el', 'la', 'del', 'en']",
2,1934,2_de_en_un_los,"de, en, un","['de', 'en', 'un', 'los', 'la', 'animales', 'una', 'el', 'se', 'que']",
3,1915,3_pelicula_de_que_en,"pelicula, de, que","['pelicula', 'de', 'que', 'en', 'una', 'la', 'cine', 'el', 'los', 'un']",
4,1670,4_policia_la policia_detenido_un,"policia, la policia, detenido","['policia', 'la policia', 'detenido', 'un', 'de anos', 'de', 'en', 'la', 'una', 'hombre']",
5,1500,5_prision_de_por_anos,"prision, de, por","['prision', 'de', 'por', 'anos', 'la', 'la audiencia', 'tribunal', 'audiencia', 'de prision', 'delito']",
6,1118,6_musica_cancion_banda_la musica,"musica, cancion, banda","['musica', 'cancion', 'banda', 'la musica', 'de', 'en', 'the', 'su', 'el', 'la']",
7,1176,7_banco_inflacion_los_la inflacion,"banco, inflacion, los","['banco', 'inflacion', 'los', 'la inflacion', 'tipos', 'el', 'bancos', 'de', 'del', 'la']",
8,1130,8_sanidad_huelga_medicos_de,"sanidad, huelga, medicos","['sanidad', 'huelga', 'medicos', 'de', 'atencion', 'la sanidad', 'la', 'primaria', 'atencion primaria', 'salud']",
9,899,9_temperaturas_calor_grados_temperatura,"temperatur, calor, grados","['temperaturas', 'calor', 'grados', 'temperatura', 'climatico', 'mas', 'el', 'cambio climatico', 'en', 'de calor']",
10,893,10_espacial_la_la tierra_de,"espacial, la, la tierra","['espacial', 'la', 'la tierra', 'de', 'tierra', 'el', 'nasa', 'la nasa', 'luna', 'un']",
11,926,11_futbol_el_en_que,"futbol, el, en","['futbol', 'el', 'en', 'que', 'del', 'la', 'se', 'de', 'un', 'al']",
12,967,12_energia_de energia_gas_de,"energia, de energia, gas","['energia', 'de energia', 'gas', 'de', 'el', 'la', 'electricidad', 'en', 'renovables', 'para']",
13,847,13_laboral_trabajo_trabajadores_de trabajo,"laboral, trabajo, trabajador","['laboral', 'trabajo', 'trabajadores', 'de trabajo', 'empleo', 'que', 'de', 'el', 'los', 'la']",
14,883,14_artificial_inteligencia artificial_inteligencia_ia,"artificial, inteligenc, inteligenc","['artificial', 'inteligencia artificial', 'inteligencia', 'ia', 'chatgpt', 'la inteligencia artificial', 'la inteligencia', 'de', 'google', 'que']",
15,688,15_vivienda_alquiler_viviendas_la vivienda,"vivienda, alquiler, viviendas","['vivienda', 'alquiler', 'viviendas', 'la vivienda', 'de vivienda', 'de', 'la', 'en', 'los', 'pisos']",
16,664,16_vineta_satirica_vergara_satirica de,"vineta, satirica, vergara","['vineta', 'satirica', 'vergara', 'satirica de', 'de', 'bernardo vergara', 'de bernardo', 'vineta satirica de', 'vineta satirica', 'de bernardo vergara']",
17,668,17_coches_vehiculos_coche_electricos,"coches, vehiculos, coche","['coches', 'vehiculos', 'coche', 'electricos', 'los coches', 'de', 'que', 'los', 'un', 'en']",
18,718,18_mujeres_violencia_igualdad_trans,"mujeres, violencia, igualdad","['mujeres', 'violencia', 'igualdad', 'trans', 'las mujeres', 'ley', 'genero', 'de genero', 'la', 'las']",
19,527,19_carne_que_de_comida,"carne, que, de","['carne', 'que', 'de', 'comida', 'comer', 'en', 'es', 'la', 'se', 'con']",
20,503,20_aborto_embarazo_que_la,"aborto, embarazo, que","['aborto', 'embarazo', 'que', 'la', 'el', 'mujeres', 'de', 'derecho', 'el aborto', 'en']",
21,523,21_agua_de agua_donana_la,"agua, de agua, donana","['agua', 'de agua', 'donana', 'la', 'de', 'del', 'el', 'sequia', 'el agua', 'los']",
22,498,22_educacion_alumnos_centros_los,"educacion, alumnos, centros","['educacion', 'alumnos', 'centros', 'los', 'que', 'de', 'la', 'las', 'en', 'estudiantes']",
23,513,23_twitter_musk_elon_elon musk,"twitter, musk, elon","['twitter', 'musk', 'elon', 'elon musk', 'de twitter', 'red social', 'la red social', 'red', 'de', 'la red']",
24,593,24_arte_museo_artista_de,"arte, museo, artista","['arte', 'museo', 'artista', 'de', 'fotografia', 'en', 'la', 'una', 'el', 'del']",
