Topic,Count,Name,Representation,Representative_Docs
-1,16633,-1_si_madrid_mundo_ser,"['si', 'madrid', 'mundo', 'ser', 'gobierno', 'tambien', 'espana', 'personas', 'hace', 'anos', 'vida', 'euros', 'puede', 'mas', 'empresa', 'millones', 'dos', 'pais', 'tras', 'solo']","[' esta cada vez mas cerca de ser un hecho madrid deberia tener f a partir de  falta la oficialidad por ambas partes pero segun fuentes cercanas a las partes interesadas madrid podria albergar el gp de espana de f en ifema y valdebebas a partir de  es algo de lo que se ha hablado mucho en los ultimos meses e incluso se especulo con la posibilidad de que se uniera en un mismo fin de semana motogp y f en un mismo trazado pero segun ha podido saber este diario esa opcion ha sido desechada  ', ' cabe el  advierten en el gobierno de pedro sanchez ante el polemico protocolo antiabortista puesto encima de la mesa por el ejecutivo de castilla y leon la primera y por ahora unica administracion autonomica en espana dirigida por el partido popular y la ultraderecha de vox pero el recurso a este articulo de la constitucion que podria llegar a intervenir las competencias en sanidad en esta comunidad autonoma seria la ultima opcion segun admiten en el ejecutivo si previamente no logran que se retire esta controvertida iniciativa  ', ' valencia salto a la esfera mediatica nacional el pasado  de mayo por la celebracion de su primera bienvenida a la ciudadania una suerte de bautizo civil con el objetivo de ampliar los derechos a todas aquellas personas no creyentes de forma que puedan realizar algun tipo de acto con motivo del nacimiento de un hijo sin embargo la nueva alcaldesa de valencia del pp maria jose catala ha decidido eliminar este tipo de actos una vez se realicen los que ya estan agendados y comprometidos en total siete  ']"
0,13728,0_pp_elecciones_partido_vox,"['pp', 'elecciones', 'partido', 'vox', 'feijoo', 'psoe', 'electoral', 'tribunal', 'sanchez', 'gobierno', 'presidente', 'prision', 'madrid', 'podemos', 'pedro', 'generales', 'diaz', 'popular', 'voto', 'anos']","[' la espada de damocles ha sido una constante sobre la cabeza de pedro sanchez desde que gano las primeras elecciones generales abril de  no logro la investidura y convoco de nuevo a las urnas para noviembre de ese mismo ano retrocedio en escanos pero formo gobierno de coalicion con la formacion liderada por pablo iglesias de resultas de esta segunda cita electoral desparecio albert rivera y se inicio la irreversible caida de ciudadanos hace dos anos fue pablo iglesias quien se retiro de la actividad politica de primera linea  ', ' el bloque de la derecha se queda a cuatro de la mayoria absoluta el tracking diario de db para el pais y la cadena ser muestra cambios notables respecto a la jornada anterior el pp perderia tres diputados hasta quedarse en  el psoe bajaria uno y obtendria un total de  vox permanece igual  y sumar ganaria cinco alcanzando los  su mejor estimacion desde junio tras el acuerdo para formar la coalicion en todo caso la formacion de extrema derecha conserva el codiciado tercer puesto con una estimacion de voto del   ', ' la presidenta del pp de la comunidad de madrid isabel diaz ayuso ha salido en defensa del lider nacional alberto nunez feijoo al tiempo que ha dado por hecho que pedro sanchez va a revalidar en el cargo como presidente del gobierno va a vender nuestra nacion a sus enemigos ha dicho antes de sostener que ya tiene todo pactado especialmente con arnaldo otegi y carles puigdemont unas palabras que dejan en evidencia a genova que sigue insistiendo en pelear la investidura quiere gobernar con los que buscan romper espana ha sostenido so  ']"
1,3495,1_ucrania_rusia_ruso_guerra,"['ucrania', 'rusia', 'ruso', 'guerra', 'putin', 'rusa', 'rusos', 'ucraniano', 'otan', 'rusas', 'militar', 'kiev', 'moscu', 'ejercito', 'invasion', 'ucranianos', 'fuerzas', 'vladimir', 'tanques', 'israel']","[' en una medida condenada en moscu el consejo de defensa y seguridad nacional de ucrania le dijo al gobierno que redactara la ley luego de una serie de redadas en parroquias que segun kiev podrian estar recibiendo ordenes de moscu mientras rusia libra la guerra contra ucrania el servicio de seguridad de ucrania sbu tambien continuo con sus redadas el viernes y dijo que registro al menos cinco parroquias pertenecientes a una rama de la iglesia ortodoxa ucraniana que hasta mayo estuvo subordinada a la iglesia ortodoxa rusa  ', ' el pentagono ha dado un respaldo tacito a los ataques de largo alcance de ucrania contra objetivos dentro de rusia despues de los multiples ataques con misiles del presidente putin contra la infraestructura critica de kiev desde que comenzaron los ataques diarios contra civiles en octubre el pentagono ha revisado su evaluacion de la amenaza de la guerra en ucrania de manera crucial esto incluye nuevos juicios sobre si los envios de armas a kiev podrian conducir a una confrontacion militar entre rusia y la otan  ', ' una asociacion poco conocida que apoya a las viudas de los soldados rusos ha pedido al presidente vladimir putin que ordene una movilizacion a gran escala de millones de hombres y que cierre las fronteras para asegurar la victoria en ucrania putin el lider supremo de rusia de  anos esta bajo una intensa presion para lograr la victoria en ucrania despues de mas de  meses despues de que envio tropas como parte de una operacion que segun dice tenia como objetivo defender a los rusos en el este de ucrania  ']"
2,3023,2_pelicula_musica_cine_cancion,"['pelicula', 'musica', 'cine', 'cancion', 'peliculas', 'the', 'banda', 'juego', 'juegos', 'disco', 'musical', 'libros', 'novela', 'obra', 'arte', 'historia', 'rock', 'album', 'videojuegos', 'artista']","[' tengo un amigo que es artista pese a haber ganado un premio nobel y haber participado en el proyecto manhattan de una de las cosas que mas orgulloso se sentia aquel hombre era de ser capaz de ver la belleza de una flor y de aprender de jerry su amigo artista sin embargo no habia sido siempre asi segun contaria mas tarde el mismo en uno de sus libros de joven era una persona monotematica solo tenia ojos para la ciencia por suerte eso cambiaria y se adentraria en el mundo de la pintura la musica y la literatura  ', ' dark city  fue un fracaso debido a que su distribuidora new line no supo como venderla es ciencia ficcion es cine negro se trata de un pastiche de multitud de cosas sea como fuere lo cierto es que el film de alex proyas no lo vio casi nadie aun recuerdo en el momento de su estreno los cuatro matados que estabamos en la sala mientras yo me sorprendia por no ver a casi nadie en la nueva pelicula del director de la admirada el cuervo the crow  sin embargo al ano siguiente todo el mundo alucino con the matrix  ', ' redbook ediciones presenta un nuevo libro sobre the cure escrito por marcos gendre llega un nuevo volumen en castellano sobre una de las bandas mas influyentes y duraderas en la historia del rock la tarea de narrar la historia de esta banda no es facil ya que han creado muchos exitos y han trascendido a la cultura popular con su musica el libro ofrece una radiografia detallada del grupo su evolucion musical los cambios en su formacion y su exito comercial en los anos  y  desde sus origenes en la musica punk hasta su viaje por el got  ']"
3,2004,3_animales_animal_perros_perro,"['animales', 'animal', 'perros', 'perro', 'especies', 'arqueologos', 'caza', 'especie', 'aves', 'piedra', 'restos', 'romano', 'romana', 'siglo', 'conservacion', 'ac', 'descubierto', 'arboles', 'antigua', 'metros']","[' los arqueologos han descubierto los cimientos de un fuerte romano perdido del siglo ii en el oeste de escocia al norte de glasgow que formaba parte de un malogrado intento de extender el control del imperio por toda gran bretana el fuerte era una de las  estructuras defensivas construidas a lo largo de la muralla antonina una fortificacion de tierra y madera que atravesaba escocia en su punto mas estrecho a lo largo de  kilometros segun la agencia gubernamental historic environment scotland hes  ', ' segun ha informado el instituto armado el pasado  de julio el ahora investigado presento una denuncia en el cuartel de la guardia civil manifestando que la tarde anterior varios vehiculos habian atropellado y matado a su perro sin llegar ninguno a parar a socorrerlo despues de las investigaciones los agentes comprobaron que el animal murio a consecuencia de los golpes que le habia propinado su propio dueno por este motivo se dio inicio a una investigacion como supuesto autor de un delito de maltrato animal y otro de denuncia falsa  ', ' segun un nuevo estudio un arma de caza de  anos de antiguedad ha arrojado nueva luz sobre la maestria de los primeros humanos en el trabajo de la madera el analisis mas avanzado de un palo arrojadizo de madera de doble punta hallado en schoningen alemania hace tres decadas demuestra que fue raspado curado y lijado antes de ser utilizado para matar animales la investigacion indica que las tecnicas de carpinteria de los primeros humanos estaban mas desarrolladas y eran mas sofisticadas de lo que se creia hasta ahora  ']"
4,1661,4_inflacion_banco_pensiones_tipos,"['inflacion', 'banco', 'pensiones', 'tipos', 'bancos', 'bce', 'interes', 'banca', 'impuesto', 'deuda', 'subida', 'bank', 'pib', 'economia', 'precios', 'hipotecas', 'euros', 'jubilacion', 'trimestre', 'impuestos']","[' la proxima subida de tipos de interes del banco central europeo bce seguira alimentando las cuentas de la banca nacional pero a unas entidades mas que a otras pese a que el endurecimiento monetario asi como la escalada del euribor ha favorecido a todos los bancos espanoles caixabank y bankinter se erigen como las companias a las que las progresivas subidas de tipos les beneficia mas que al resto de la gran banca  ', ' las rentabilidades de los depositos han mejorado tras la fuerte subida de los tipos de interes del banco central europeo bce pero de manera muy desigual entre los paises de la zona euro espana se situa en el furgon de cola con remuneraciones promedio por debajo del  asi en la eurozona se paga de media un  mas por los ahorros que en la geografia espanola aunque sobresalen ofertas la mayoria de entidades que opera en suelo espanol no se ha lanzado a por el pasivo de forma agresiva y la gran banca se mantiene todavia al margen  ', ' la deuda consolidada de las empresas y de los hogares se redujo en el primer trimestre un  hasta los  millones de euros segun las cuentas financieras de la economia espanola publicadas hoy por el banco de espana el documento muestra que a pesar de que las familias y empresas han ido disminuyendo sus activos en los tres primeros meses del ano como consecuencia de la subida de los tipos de interes por parte del banco central europeo bce es un  superior al alcanzado a finales de  antes de la pandemia  ']"
5,1304,5_vivienda_alquiler_agua_viviendas,"['vivienda', 'alquiler', 'agua', 'viviendas', 'pisos', 'contaminacion', 'propietarios', 'donana', 'residuos', 'parque', 'sequia', 'zonas', 'rio', 'ley', 'precio', 'ecologica', 'aguas', 'piso', 'precios', 'ambiental']","[' la mitad de duenos tiene  inmuebles o mas en alquiler la vivienda no esta en manos de pequenos arrendadores vulnerables zanja lucia martin concejala de vivienda de barcelona  propietarios concentran tal cantidad de pisos como habitantes hay en el barri gotic de barcelona  empresas particulares adms publicas instituciones religiosas o entidades sin animo de lucro tienen en su poder  viviendas de la capital catalana y eso tiene consecuencias detras de  de cada  hogares en alquiler en la capital catalana hay una empresa  ', ' pedro sanchez ha anunciado este miercoles en el congreso que el gobierno financiara otras  viviendas destinadas al alquiler a precios asequibles para facilitar su acceso a familias y jovenes  habra una linea del ico para esta medida se destinara al alquiler social o la cesion de uso de  anos tenemos uno de los porcentajes mas bajos ridiculos y bochornosos de parque publico de vivienda tenemos menos del  a una distancia sideral de holanda o dinamarca donde estan en un    ', '  viviendas sin uso que hay en santiago segun datos del instituto nacional de estadistica ine unas cifras inasumibles para una ciudad de menos de  habitantes cuyos elevados precios de compra y alquiler llevan decadas expulsando a los vecinos a localidades limitrofes y la cifra es aun mas sorprendente en lugo que cuenta con unas  viviendas en total de las cuales  una de cada cinco estan sin habitar todo ello en una comunidad la gallega que tiene el mayor porcentaje de viviendas vacias de espana  ']"
6,1284,6_detenido_policia_hombre_victima,"['detenido', 'policia', 'hombre', 'victima', 'mujer', 'agentes', 'joven', 'guardia', 'arma', 'nacional', 'mossos', 'agresion', 'desquadra', 'hechos', 'arrestado', 'presunto', 'civil', 'pareja', 'robo', 'presuntamente']","[' el hombre de  anos presuntamente apunalo a su esposa cuando se encontraba en el dormitorio de madrugada un hombre ha sido detenido en la madrugada de este lunes por la guardia civil acusado de tratar de matar a su mujer en su vivienda de cieza segun confirmaron fuentes cercanas al caso el sospechoso de  anos agredio con un cuchillo de once centimetros de hoja a su esposa cuando se encontraba en el dormitorio segun explicaron las fuentes la victima de  anos se encuentra ingresada en el hospital de cieza con lesiones de  ', ' sobre la medianoche de este viernes agentes de la ertzaintza han detenido en bilbao a un joven de  anos por su presunta implicacion en el asesinato de una mujer de  anos con la que le unen lazos familiares la victima ha sido encontrada fallecida en una vivienda y presentaba lesiones provocadas por arma blanca el mismo arrestado se ha acercado tras el suceso a una patrulla que se encontraba en la via publica para informar del homicidio segun informan fuentes del departamento de seguridad del gobierno vasco  ', ' la victima presentaba heridas provocadas por arma blanca en cuello torax y espalda la policia nacional ha detenido a un varon de  anos de edad y nacionalidad ghanesa como supuesto autor de un delito de tentativa de homicidio y robo con violencia en murcia sucedio en la madrugada del pasado dia  de diciembre cuando se tuvo conocimiento de que habia un hombre tendido en la via publica rapidamente se desplazo al lugar una ambulancia que lo traslado a un centro sanitario donde comprobaron que la victima presentaba heridas graves  ']"
7,1203,7_energia_coches_electricos_electricidad,"['energia', 'coches', 'electricos', 'electricidad', 'electrico', 'baterias', 'renovables', 'gas', 'coche', 'vehiculos', 'hidrogeno', 'solar', 'emisiones', 'electrica', 'solares', 'energetica', 'precio', 'mercado', 'automoviles', 'produccion']","[' en junio de  la union europea reafirmo su acuerdo para prohibir la venta de automoviles y furgonetas nuevos propulsados por gasolina y diesel para  los principales fabricantes de automoviles ofrecen ahora modelos   electricos y se va incrementando el volumen de instalacion de cargadores de acceso publico en toda europa en consecuencia las ventas de vehiculos electricos se han multiplicado por  en europa solo en los ultimos  anos con mas de  millones de vehiculos electricos vendidos en  lo que equivale a mas del   ', ' espana se dispone a consolidar su liderazgo en el sector de la energia verde aprovechando las cuantiosas inversiones realizadas en la ultima decada segun las previsiones de rystad energy el pais esta camino de generar mas de la mitad de su energia a partir de fuentes renovables este ano siendo el primero de los cinco paises europeos con mayor demanda electrica en lograr esta hazana asi superara a alemania francia italia y reino unido  ', ' el grupo pamesa ha presentado este jueves la primera planta ceramica libre de emisiones de carbono la aplicacion de una nueva tecnologia de combustible basado en hidrogeno ha permitido sustituir el consumo del gas natural de la planta de atomizacion que la firma ostenta en onda el primer cambio de la compania azulejera que preve replicar en el resto de instalaciones con el objetivo de acabar con las emisiones de co en todo el proceso de atomizacion de la ceramica que supone el  de la energia consumida por el sector  ']"
8,1138,8_temperaturas_calor_grados_temperatura,"['temperaturas', 'calor', 'grados', 'temperatura', 'incendios', 'climatico', 'incendio', 'clima', 'hielo', 'calentamiento', 'nieve', 'lluvias', 'record', 'cambio', 'ola', 'fuego', 'hectareas', 'climatica', 'altas', 'bomberos']","[' en la actualidad hay alertas de calor en toda europa asia y eeuu para decenas de millones de personas hace solo unos meses varias regiones del norte de china luchaban contra un frio extremo con temperaturas por debajo de los c el domingo el panorama fue totalmente diferente en estados unidos el paso texas las temperaturas se mantuvieron sobre los c durante  dias consecutivos lo que sobrepasa el record anterior de  dias  el calor en italia podria batir records continentales en grecia miles de personas han sido evacuadas  ', ' las islas canarias se han visto afectadas por una ola de calor sin precedentes con temperaturas extremadamente altas en varias zonas gran canaria ha registrado una temperatura maxima de  grados en tasarte mientras que maspalomas centro insular de turismo alcanzo los  grados tenerife tambien experimento altas temperaturas llegando a los  grados en puntagorda ante esta situacion el gobierno de canarias ha declarado alerta por temperaturas maximas en tenerife y gran canaria y prealerta en el resto del archipielago  ', ' los cientificos estan asombrados no solo por cuanto se han calentado las aguas durante el ultimo mes sino tambien por lo temprano en el ano de esta ola de calor las aguas calidas son una amenaza para la vida marina y podrian empeorar las olas de calor sobre la tierra este verano dicen las temperaturas de la superficie del mar alcanzan los  grados celsius  grados fahrenheit por encima de lo normal las mas calidas en mas de  anos y son mas tipicas de agosto y septiembre cuando las aguas suelen ser mas calidas  ']"
