Topic,Count,Name,CustomName,Representation,Representative_Docs
-1,16,-1_hey_hey hey_hey hey hey_los saiyans vegeta,"hey, hey hey, hey hey he","['hey', 'hey hey', 'hey hey hey', 'los saiyans vegeta', 'granos automatico unboxing', 'hey heeeeeey', 'he hey hey', 'ti es un', 'he hey', 'hey heeeeeeeeeeey']",
0,3037,0_ucrania_rusia_guerra_de,"ucrania, rusia, guerra","['ucrania', 'rusia', 'guerra', 'de', 'de ucrania', 'ruso', 'el', 'en', 'la', 'la guerra']",
1,2686,1_elecciones_pp_partido_las elecciones,"elecciones, pp, partido","['elecciones', 'pp', 'partido', 'las elecciones', 'ha', 'que', 'el', 'la', 'del', 'en']",
2,1906,2_de_en_un_los,"de, en, un","['de', 'en', 'un', 'los', 'la', 'animales', 'una', 'el', 'que', 'se']",
3,1925,3_pelicula_de_que_en,"pelicula, de, que","['pelicula', 'de', 'que', 'en', 'una', 'la', 'cine', 'el', 'los', 'un']",
4,1755,4_policia_la policia_detenido_un,"policia, la policia, detenido","['policia', 'la policia', 'detenido', 'un', 'de anos', 'de', 'en', 'la', 'anos', 'una']",
5,1472,5_prision_de_anos_por,"prision, de, anos","['prision', 'de', 'anos', 'por', 'la', 'tribunal', 'de prision', 'la audiencia', 'audiencia', 'delito']",
6,1112,6_musica_cancion_banda_la musica,"musica, cancion, banda","['musica', 'cancion', 'banda', 'la musica', 'the', 'de', 'en', 'el', 'su', 'disco']",
7,1168,7_banco_inflacion_los_la inflacion,"banco, inflacion, los","['banco', 'inflacion', 'los', 'la inflacion', 'tipos', 'el', 'bancos', 'de', 'del', 'la']",
8,1147,8_sanidad_huelga_medicos_atencion,"sanidad, huelga, medicos","['sanidad', 'huelga', 'medicos', 'atencion', 'de', 'la sanidad', 'la', 'primaria', 'salud', 'atencion primaria']",
9,893,9_temperaturas_calor_grados_temperatura,"temperatur, calor, grados","['temperaturas', 'calor', 'grados', 'temperatura', 'climatico', 'mas', 'el', 'cambio climatico', 'de calor', 'en']",
10,887,10_espacial_la_la tierra_tierra,"espacial, la, la tierra","['espacial', 'la', 'la tierra', 'tierra', 'de', 'nasa', 'luna', 'el', 'la nasa', 'la luna']",
11,923,11_futbol_el_en_que,"futbol, el, en","['futbol', 'el', 'en', 'que', 'del', 'la', 'se', 'de', 'un', 'al']",
12,966,12_energia_de energia_gas_de,"energia, de energia, gas","['energia', 'de energia', 'gas', 'de', 'el', 'la', 'electricidad', 'en', 'renovables', 'para']",
13,854,13_laboral_trabajo_trabajadores_de trabajo,"laboral, trabajo, trabajador","['laboral', 'trabajo', 'trabajadores', 'de trabajo', 'empleo', 'que', 'de', 'los', 'el', 'la']",
14,864,14_artificial_inteligencia artificial_inteligencia_ia,"artificial, inteligenc, inteligenc","['artificial', 'inteligencia artificial', 'inteligencia', 'ia', 'chatgpt', 'la inteligencia', 'la inteligencia artificial', 'de', 'google', 'gpt']",
15,692,15_vivienda_alquiler_viviendas_la vivienda,"vivienda, alquiler, viviendas","['vivienda', 'alquiler', 'viviendas', 'la vivienda', 'de vivienda', 'de', 'la', 'en', 'los', 'que']",
16,616,16_vineta_satirica_de_satirica de,"vineta, satirica, de","['vineta', 'satirica', 'de', 'satirica de', 'vergara', 'bernardo vergara', 'de bernardo', 'vineta satirica de', 'vineta satirica', 'sobre']",
17,663,17_coches_vehiculos_coche_electricos,"coches, vehiculos, coche","['coches', 'vehiculos', 'coche', 'electricos', 'los coches', 'de', 'que', 'los', 'un', 'en']",
